Level	Название бомбы	Доход от взрыва	Radius	Knockback	Cooldown	MaxDepthLevel	Стоимость	Robux
1	Classic Bomb	5	10	100	3	1	0	0
2	Venom Bomb	6	12	110	2.8	1	100	9
3	Fire Bomb	8	14	120	2.6	1	2,300	19
4	Dynamite	10	16	135	2.4	2	5,000	29
5	Firework Dynamite	12	18	150	2.2	2	15,000	39
6	Mega Dynamite	15	20	170	2	2	42,000	69
7	Spike Bomb 	20	23	190	1.8	3	110,000	99
8	Slime Bomb	25	26	210	1.7	3	250,000	149
9	Boom Bomb	30	30	240	1.6	3	560,000	199
10	Blast Rocket	40	34	270	1.5	4	1,500,000	299
11	Glitch Rocket	50	38	300	1.4	4	3,300,000	399
12	Golden Rocket	60	42	340	1.3	4	7,300,000	449
13	TNT Block	75	46	380	1.2	5	19,000,000	499
14	Space TNT	90	50	420	1.1	5	42,000,000	549
15	Diamond TNT	100	55	500	1	5	94,000,000	599
